,ward_clus,업체명,경도,위도,주차장명,주차경도,주차위도,group,sum_2_y
158,40,(주)영동가스,37.5188926,127.0096661,봉화산역(남),127.091907,37.616427,159.0,0.7235927112558483
159,40,(주)영동가스,37.5188926,127.0096661,봉수대,127.09262162700001,37.607076780199996,160.0,0.7235927112558483
160,41,수도에너지(주)동서울충전소,37.5896355,127.0572487,동원시장,127.091943773,37.5900161494,161.0,1.0537351095510954
161,41,수도에너지(주)동서울충전소,37.5896355,127.0572487,늘봄,127.09640007799999,37.5898179798,162.0,0.8542982712452678
162,41,수도에너지(주)동서울충전소,37.5896355,127.0572487,까치공원,127.086967859,37.5835075461,163.0,0.8542982712452678
163,41,수도에너지(주)동서울충전소,37.5896355,127.0572487,금란,127.10159040299999,37.5998686891,164.0,1.042362394826084
164,42,진양가스,37.4905825,127.0346343,더다이닝호수,127.101088,37.510556,165.0,2.673941639721189
165,42,진양가스,37.4905825,127.0346343,서울놀이마당,127.097721,37.508941,166.0,2.673941639721189
166,42,진양가스,37.4905825,127.0346343,서린노외,126.981483,37.569835,167.0,1.885395461880946
167,42,진양가스,37.4905825,127.0346343,서인사마당,126.98358586270001,37.5736815664,168.0,1.885395461880946
168,43,오승프라임산업(주),37.5069035,126.826906,삼성1동문화센터,127.0626093517,37.5143551261,169.0,3.0602457661072195
169,43,오승프라임산업(주),37.5069035,126.826906,탄천주차장,127.066491114,37.5141115358,170.0,3.0602457661072195
170,43,오승프라임산업(주),37.5069035,126.826906,대림2동공영주차장,126.899931,37.491568,171.0,2.0117270398346507
171,43,오승프라임산업(주),37.5069035,126.826906,대림3동공영주차장,126.900465,37.497991,172.0,2.2687089407361443
